name,page_title,alliance,zone,place_type,place_class,description,location,loadtext,summary,bosses,related_quests,notable_items,notes
Torog's Spite,Online:Torog's Spite,Daggerfall Covenant,Bangkorai,Cave,Delve,"an old iron mine in northwestern Bangkorai, northwest of Evermore, containing infighting Agluk Clan and Morkul Clan raiders.",Northwest of Evermore,"This mine once eked out iron ore to its diligent Breton miners, but it has long since been given up to Orcish raiders from Wrothgar.",Its Breton miners were driven out long ago by Orcish invaders from Wrothgar. A Letter from Historian Maaga‎‎ can be read to begin the quest associated with this delve. Deeper into the mine Borzugh's Letter and Thorzhul's Letter can also be found.,,Claim to Fame,,"The delve was inhabited by Orc raiders (Torog's Spite Archer; Torog's Spite Marauder; Torog's Spite Ravager; Torog's Spite Savage) prior to Patch 1.4.5, having been replaced by Orc clans.; It is named after Torug gro-Igron."
Troll's Toothpick,Online:Troll's Toothpick,Daggerfall Covenant,Bangkorai,Cave,Delve,"a cave in northeastern Bangkorai, north of Kerbol's Hollow containing trolls and bandits.",North of Kerbol's Hollow,"The Knahaten Flu swept through the Mournoth Dungeons, killing everyone, prisoners, guards, and warden alike. The prison was decommissioned and left to decay. Now the locals call it by a different name.",,,Troll's Dessert,,
Viridian Watch,Online:Viridian Watch,Daggerfall Covenant,Bangkorai,Ruin,Delve,"a fort in eastern Bangkorai, northeast of the Bangkorai Garrison containing Bjoulsae Boys bandits.",Northeast of the Bangkorai Garrison,"In the early First Era, during the days when the Direnni Hegemony ruled High Rock, a series of watch towers was built along the border with the Reach and Skyrim. Today most of them are nothing more than crumbling ruins.","A chest can be found around the corner from the trapdoor leading into the delve. A heavy sack is located in the hallway west of the entrance, at the corner between the eastern and southern passageways. Quickpaw of Martyr's Crossing can mark this delve on your map. Captured Bretons can be found here. A chest and heavy sack are located west of the boss, in the eastern chamber. Curnard's Journal can be found on a table east of the boss. The Bjoulsae Boys Charter can be found in the delve as well, along with another document. A copy of A Royal Embarrassment can also be found here.",,The Ravenwatch Inquiry,,
Cryptwatch Fort,Online:Cryptwatch Fort,Daggerfall Covenant,Glenumbra,Fort,Delve,a fort just north of the Crosswych Wayshrine in Glenumbra containing Bloodthorn cultists and Red Rook bandits.,North of the Crosswych Wayshrine,"As the name implies, Cryptwatch Fort was once an underground mausoleum. It was later fortified by the addition of a tower during one of High Rock's many internal conflicts.",Argar's corpse can be found near the delve boss during Ruthless Competition. Rats and torchbugs are found in numbers within.,,Fortune in Failure; Ache For Cake,,
Ebon Crypt,Online:Ebon Crypt,Daggerfall Covenant,Glenumbra,,,,,,,,,,
Enduum,Online:Enduum,Daggerfall Covenant,Glenumbra,Elven Ruin,Delve,an Ayleid ruin on the shore west of Camlorn in Glenumbra containing Aldmeri Dominion soldiers and skeletons.,West of Camlorn,"The halls of lost Enduum are given a wide berth by the local Bretons, who claim that its corridors and chambers are haunted by ghosts of the ancient Ayleids who built them back in the .",". }} Rats and spiders and are found in ample numbers within with a squirrel. During the Elsweyr Chapter prologue quest, Daggerfall Covenant characters will be sent here by Abnur Tharn to collect dusk mushrooms for Dagaril-dro.",,,,"The Dawn Era reference was [https://www.imperial-library.info/content/lawrence-schick-and-phrastus-altmer-culture noted] to be an error by Lawrence Schick, and is instead intended to be First Era."
Ilessan Tower,Online:Ilessan Tower,Daggerfall Covenant,Glenumbra,Ruin,Delve,a ruin just west of the Baelborne Rock Wayshrine and east of Daggerfall in Glenumbra containing Red Rook bandits.,West of the Baelborne Rock Wayshrine,"This long abandoned, crumbling tower appears to be an old outwork of the Daggerfall defenses.","This delve can be split into two sections, there are the tower ruins on the western side of the map. Here the Rooks have dispatched an exploration team to loot the tower, led by a powerful storm mage named Gaetane. Rats are found in ample numbers within the tower. In the northeast area of the map is an outdoor area filled with harpies and their nests. The Red Rooks and Harpies have been fighting each other, with casualties on both sides. During ""Three Thieves in Daggerfall"", you will get access to the Lower Dungeon, an area below the main delve.",,"Red Rook Resources; Red Rook Ransack in Glenumbra; Royal Revelry; Things Lost, Things Found; Three Thieves in Daggerfall",,
Mines of Khuras,Online:Mines of Khuras,Daggerfall Covenant,Glenumbra,Mine,Delve,"located on the shore east of Aldcroft, in Glenumbra, and contain Bloodthorn cultists.",East of Aldcroft,"These extensive mines, once famous as a source of crystals and gems, were abandoned after a ceiling collapse in 1E 2906 rendered most of the tunnels inaccessible.","Peasants have been enslaved by the cult and forced to mine. Rats are found in ample numbers within the tunnels. A heavy sack is located near the end of the tunnel connecting the central chamber to the entrance. Bloodthorn Orders are located in this same tunnel, closer to the delve's entrance. The delve's boss is located in the north central chamber at the end of a dock where there is a pick embedded in stone.",,A Brush With Death; Through a Veil Darkly,,"The Mines of Khuras appeared in Arena.; The small tunnel to the northeastern chamber is only open to find Oracle Marieve during the quest Through a Veil Darkly. Enter it on the east side of the east ""finger"" of the lake where Lilou is."
Silumm,Online:Silumm,Daggerfall Covenant,Glenumbra,Elven Ruin,Delve,an Ayleid ruin just north of Daggerfall in Glenumbra containing Aldmeri Dominion soldiers and werewolves.,North of Daggerfall,"The ruins of Silumm are the westernmost known Ayleid settlement in Tamriel. Abandoned early in the First Era, Silumm was occupied again during the brief height of the Direnni Hegemony, before being left once more to the erosion of time.","thumb|right|Interior Rats are found in ample numbers within. During the quest Long Lost Lore, a Forgotten Tome can be found here if your character is of the Dominion.",,An Apocalyptic Situation; Long Lost Lore; Royal Revelry,,
Crestshade Mine,Online:Crestshade Mine,Daggerfall Covenant,Rivenspire,Mine,Delve,"a mine in central Rivenspire, northwest of Shornhelm containing trolls.",Northwest of Shornhelm,"This mine is responsible for much of Crestshade's prosperity, but work was suspended when trouble came to the nearby village.","The mine was responsible for most of Crestshade's prosperity, but was closed down when trouble came to the village. It has since been overrun by trolls. Bitterhand Brutes, Bitterhand Menders, Bitterhand Rogues, Bitterhand Scouts and Skeevers are found near the entrance. Fleshflies and rats are found in numbers within.",,Friend of Trolls,,
Erokii Ruins,Online:Erokii Ruins,Daggerfall Covenant,Rivenspire,Elven Ruin,Delve,"Ayleid ruins in northern Rivenspire, northeast of The Doomcrag containing Montclair soldiers.",Northeast of The Doomcrag,"The crumbling walls, arches, and tunnels in Shrouded Pass are all that is left of Erokii, once the greatest Ayleid city in northwest Tamriel. Its destruction occurred so far in the past that no one today knows the date of its downfall.",Rats and torchbugs are found in numbers within.,,Ancient Power,,
Flyleaf Catacombs,Online:Flyleaf Catacombs,Daggerfall Covenant,Rivenspire,Crypt,Delve,"tombs in southwestern Rivenspire, southwest of Crestshade containing Bitterhand Bandits.",Southwest of Crestshade,"There are at least three kinds of undead in Tamriel: the reanimated, which includes skeletons and zombies; the returned, which includes ghosts and wraiths; and the accursed, which includes vampires and their ilk.",Fleshflies and rats are found in numbers within.,,Archaic Relics; Fadeel's Freedom,,
Hildune's Secret Refuge,Online:Hildune's Secret Refuge,Daggerfall Covenant,Rivenspire,,,,,,"Hildune's Secret Refuge may refer to: *Hildune's Secret Refuge (place), a public dungeon in Rivenspire *Hildune's Secret Refuge (note), a note regarding that dungeon",,,,
Orc's Finger Ruins,Online:Orc's Finger Ruins,Daggerfall Covenant,Rivenspire,Elven Ruin,Delve,"Ayleid ruins in eastern Rivenspire, northeast of Fell's Run containing Bitterhand Bandits.",Northeast of Fell's Run,"""Do not dally, do not linger, in the tomb they call Orc's Finger."" —Northpoint Children's Chant&nbsp;",Teeba-Ja can be found held captive inside. Rats are found in numbers within.,,Darkness Blooms in Rivenspire; A Friend In Need; The Lady's Keepsake; Shedding the Past,,
Tribulation Crypt,Online:Tribulation Crypt,Daggerfall Covenant,Rivenspire,Crypt,Delve,"a tomb in southeastern Rivenspire, east of Hoarfrost Downs containing skeletons.",East of Hoarfrost Downs,"Tribulation Crypt has long been the preferred cemetery of the Rivenspire nobility. Or it was, until the dead began rising from their graves.","It is the preferred cemetery of the Rivenspire nobility. The Legend of Dame Marcelle can be found in the last room of the crypt. The spirit of Marcelle Stenric can be encountered inside, where she will guide you. Centipedes and fleshflies are found in numbers within.",,A Past Remembered,,
Bearclaw Mine,Online:Bearclaw Mine,Daggerfall Covenant,Stormhaven,Mine,Delve,"a mine on the far east of Stormhaven, north-northwest of the Weeping Giant Wayshrine containing bandits.",North-northwest of the Weeping Giant Wayshrine,"In many parts of Tamriel, black bears are smaller than their brown or white cousins. Not so the black bears of High Rock, which are among the largest seen anywhere.","An unfinished letter can be found at the entrance to the mine. Followers of Vaermina seem to have an interest of the mine, according to the orders found deeper inside the cave. A partly destroyed book and a final note can be found farther in the cave, telling about the sad fate of a miner's family. Killing bandits will sometimes free peasant miners. Beetles and rats are found in numbers within.",,Next of Kin,,
Farangel's Delve,Online:Farangel's Delve,Daggerfall Covenant,Stormhaven,Mine,Delve,"a mine on the southern shore of Stormhaven, west of Farangel's Landing containing Midnight Union smugglers.",West of Farangel's Landing,"Who excavated Farangel's Delve, and why, is unknown. What is known is that it was used as a smugglers' den for untold generations, until recently cleaned out and closed by the Lion Guard. However, rumor says it's been reopened….",They are led by Dimitri. It was used as a smuggler's den for generations until it was cleared out and closed by the Lion Guard. Beetles and rats are found in numbers within.,,Stolen Ashes,,
Koeglin Mine,Online:Koeglin Mine,Daggerfall Covenant,Stormhaven,Mine,Delve,"a mine on the southwest shore of Stormhaven, southeast of Koeglin Village containing Ember-Eye Slavers.",Southeast of Koeglin Village,"Rumor has it this old, shuttered ebony mine has recently been reopened by agents of the Mages Guild.","They are forcing Enslaved Villagers to work the old mines. Beetles, rats and snakes are found within.",,Family Secrets,,
Norvulk Ruins,Online:Norvulk Ruins,Daggerfall Covenant,Stormhaven,Elven Ruin,Delve,"an Ayleid ruin in the north of Stormhaven, north of Wind Keep containing Dremora.",North of Wind Keep,It's unknown what these vaults were called by the Ayleids who built them. They acquired their current name when they were occupied during the Second Empire by the eccentric wizard Norvulk Tome-Hoarder.,"Several texts dedicated to Vaermina can be found within the ruins: In Dreams We Awaken is near the entrance to the ruins and Dream of a Thousand Dreamers can be found in the northern part of the large open area. Just before entering that area, you can also read some orders for the followers of Vaermina. Lastly, Dreamers Our Time Has Come is found near the delve's boss, Nariam. Beetles and rats are found in numbers within.",,Cursed Baubles of Stormhaven; Word from the Dead,,Escamel Vette in Wind Keep can mark Norvulk Ruins on your map if you have not yet discovered it.
Pariah Catacombs,Online:Pariah Catacombs,Daggerfall Covenant,Stormhaven,Crypt,Delve,a tomb just south of Pariah Abbey in Stormhaven containing Stonechewer goblins.,Beneath the Pariah Abbey,"Once the favored burial site of the elite of Stormhaven, the Menevia Catacombs were abandoned, along with Menevia Abbey, after the Ghost Harrowing of 2E 307. The vaults were renamed the Pariah Catacombs when the Spirit Wardens re-opened the nearby chapel as Pariah Abbey.","Originally called Menevia Catacombs, the tomb was the favored burial place for the elite of Stormhaven, but was abandoned along with Menevia Abbey following the Ghost Harrowing of 2E 307. Beetles and rats are found in numbers within.",,,,
Portdun Watch,Online:Portdun Watch,Daggerfall Covenant,Stormhaven,Ruin,Delve,a ruin just west of Firebrand Keep in Stormhaven containing bandits.,West of Firebrand Keep,"An abandoned outwork of Firebrand Keep, this tower once guarded the crossroads between Wayrest and Alcaire.","Several Captured Knights from the nearby fort can be found inside. Beetles, rats and snakes are found within.",,Do as I Say,,
The Corpse Garden,Online:The Corpse Garden,Ebonheart Pact,Deshaan,Crypt,Delve,"a crypt in eastern Deshaan, north of the Tal'Deic Fortress containing skeletons.",North of Tal'Deic Fortress,The Siltreen Sanitary Mortuary acquired its ominous new name after it was stricken by an outbreak of undeath. No one is certain why the dead within have chosen to rise and walk among the living.,Fleshflies and rats reside within.,,Ancestor Wards in Deshaan; Digging Up the Garden,,
Knife Ear Grotto,Online:Knife Ear Grotto,Ebonheart Pact,Deshaan,Daedric Ruin,Delve,"a Daedric ruin in eastern Deshaan, northeast of the town of Silent Mire containing Daedra.",Northeast of Silent Mire,"Once this place was a shrine to Boethiah known as the Gauntlet Tabernacle, a place where Chimer sailors would stop to pay their respects before sailing overseas. Now it is rumored to be dedicated to other Daedra: the Four Corners of the House of Troubles.",A chest can be found under the stairs in the first large chamber. Rats are found in numbers within.,,A Fair Warning,,"The dungeon originally contained a statue of Boethiah, which has since been removed."
Lady Llarel's Shelter,Online:Lady Llarel's Shelter,Ebonheart Pact,Deshaan,Mine,Delve,"a kwama mine in western Deshaan, just northeast of the town of Narsis.",Northeast of Narsis,"The origins of this cave's name are obscure, but whoever Lady Llarel was it seems unlikely she'd find shelter here now, as the grotto seems to be occupied by a hive of wild kwama.","A dead Dark Elf and a note can be found near the entrance. You have no choice but to head west to traverse the tunnels. A chest can be found beside the wall near the first cluster of kwama eggs on the right at the mouth of the western chamber. Lady Llarel's Journal is beneath a large root on the north side of this chamber. A Kwama Warrior walks among a nest of eggs near the journal. If you kill the warrior, three Kwama Scribs will emerge from the soil. The boss can be found in the southwest corner of the southern chamber, and the skyshard is located north of her. If you're on the delve's quest, you'll find a Bag of Kwama Eggs beside a standing torch near the boss.",,You Have to Break a Few,,
Lower Bthanual,Online:Lower Bthanual,Ebonheart Pact,Deshaan,Dwemer Ruin,Delve,"a Dwemer ruin in central Deshaan, containing Dwemer constructs.",North of Muth Gnaar,"The brazen doors of this Dwarven site slide open smoothly and without hesitation, mute testimony to the uncanny skill of the Dwemeri engineers who built them ages ago. Perhaps the rest of the site will be in good repair as well.","It is located just north of the monastery at Muth Gnaar. Two books can be found here: the lorebook Dwemer Dreams can be found in the boss chamber, and a copy of War of Two Houses can be found on a table outside. Centipedes and rats are found in numbers within. The is found on an anvil in the southwest corner of the north room.",,The Precursor,,"Swarming Dwarven Spiders in Lower Bthanual were called ""Dwemer Spider Swarm‎"" when ESO released, but they were quickly renamed properly."
Taleon's Crag,Online:Taleon's Crag,Ebonheart Pact,Deshaan,Cave,Delve,"a cave in southern Deshaan, just south of the Vale of the Ghost Snake, containing kwama.",South of the Vale of the Ghost Snake,"Some have speculated that this site comes by its name because this is where the famous Nord author Taleon Mythmaker chose to retire after his bitter literary feud with Helgreir Lute-Voice. Phrastus of Elinhir, however, regards this theory as ""fanciful twaddle.""",Scribs and torchbugs are found in numbers inside.,,,,This dungeon was invaded by the Worm Cult during the Battle for the Writhing Wall event.
Triple Circle Mine,Online:Triple Circle Mine,Ebonheart Pact,Deshaan,Mine,Delve,"a mine in central Deshaan, just west of the town of Selfora, containing kagouti.",West of Selfora,Everyone knows the Triple Circle Mine produces the highest quality iron ore in Deshaan. Strange to find such an active mine looking so deserted.,Hlenir Redoran can be found dead inside the mine. Rats are found in numbers within.,,A Service for the Dead,,
The Bastard's Tomb,Online:The Bastard's Tomb,Ebonheart Pact,Eastmarch,Crypt,Delve,"an ancient Nordic tomb in southeastern Eastmarch, north-northeast of the Rift gate containing draugr and Stormfist soldiers.",North-northeast of the Rift gate,"This worn-out old copper and turquoise mine has an evil reputation among the locals of southern Eastmarch, though no one will explain exactly why they feel they must avoid it. Perhaps the true reason has been lost, leaving only a general dread.",The soldiers are led by Agnenor the Blade.,,Relative Matters,,
The Chill Hollow,Online:The Chill Hollow,Ebonheart Pact,Eastmarch,Cave,Delve,"a cave in northeastern Eastmarch, east of Windhelm containing wispmothers and atronachs.",East of Windhelm,The long-lost Snow Elves that once inhabited Skyrim were reputedly immune to cold and could live comfortably in ice caverns. They are said to have bred a species of snow-cedar so hardy it can live even within the heart of a glacier.,"It is inhabited by the frost atronach Nomeg Chal. Dead Worm Cultists can be found in the deepest room of the cave, hinting at the source of the out-of-place atronachs roaming the lower tunnels. A chest can spawn in the southernmost end of the central chamber, close to the eastern tunnel. thumb|right|The snow-cedar",,Icy Intrigue in Eastmarch,,
The Frigid Grotto,Online:The Frigid Grotto,Ebonheart Pact,Eastmarch,Cave,Delve,"a cave in southwestern Eastmarch, northwest of Fort Amol containing wildlife.",Northwest of Fort Amol,"Morachellis Hag-Husband speculated that a troll's third eye was used to view, not the mundane world, but the overworld of spirits coterminous with our own. However, Morachellis also believed that horkers grew into mammoths, and that fire could be classed as a beverage.","Bear, Skeever loadtext=Morachellis Hag-Husband speculated that a troll's third eye was used to view, not the mundane world, but the overworld of spirits coterminous with our own. However, Morachellis also believed that horkers grew into mammoths, and that fire could be classed as a beverage. }}thumb|right|In the grotto Rats and torchbugs are found within.",,,,
Icehammer's Vault,Online:Icehammer's Vault,Ebonheart Pact,Eastmarch,Crypt,Delve,"an ancient Nordic tomb in eastern Eastmarch, north of Cragwallow containing draugr.",North of Cragwallow,"The Icehammers were a famous clan of warriors who fought long and well during the reign of Hoag Merkiller—so well that King Hoag made the head of the clan one of his thanes. But the clan fell on evil times thereafter, and the Icehammer name died out in the last quarter of the First Era.","In addition to being occupied by draugr, undead wolves called Draugulfs can be found in the crypt. A letter from Uggissar to his cousin can be found not far from the entrance. Farther in lies a book about Thane Icehammer. In the northwestern room there is a torn book shedding some more light into the fate of Uggissar and his family who had been hiding in the tomb. In the northern tunnel you can find another note from Uggissar.",,Dear Cousins; Dragon Lore: Icehammer's Vault,,
Old Sord's Cave,Online:Old Sord's Cave,Ebonheart Pact,Eastmarch,Cave,Delve,"a cave in southern Eastmarch, south of Wittestadr containing Stormfist soldiers.",South of Wittestadr,"Sord Pot-Helm was a prospector who is said to have singlehandedly dug out the cave that bears his name, working until he died at the age of 103, still convinced that just a bit more digging would reveal a fabulous ebony lode.","They are led by Braxek, Eorim the Hammer and Gadof.",,Pilfered Urn,,"Before being removed in a very early update, Bandit Shamans and Bandit Warriors could be found here. They were replaced by Stormfist Shamans and Stormfist Warriors between the July 8th and December 22nd, 2014."
Stormcrag Crypt,Online:Stormcrag Crypt,Ebonheart Pact,Eastmarch,Crypt,Delve,"an ancient Nordic tomb in southeastern Eastmarch, south of Jorunn's Stand containing draugr.",South of Jorunn's Stand,"Grunilda Stormcrag was one of the original Five Hundred Companions who landed on the shores of Skyrim with Ysgramor. After the Snow Elves were defeated, she established her clan holdings on the northern slopes of the Icewind Peaks.",Rats and torchbugs are found in numbers within. Hazards include: Flame Walls. There are more than a dozen bookshelves in the crypt. The Deathknight Stormcrag can be found in the northeastern chamber.,,Dragon Lore: Stormcrag Crypt,,
Avanchnzel,Online:Avanchnzel,Ebonheart Pact,The Rift,Dwemer Ruin,Delve,"a Dwemer ruin in the southern Rift, south of Honrich Tower, containing dwarven automatons.",South of Honrich Tower,"Based on what little is known about the Dwarven ruin of Avanchnzel, some scholars of Dwemer architecture believe it must be the outer chambers of a much larger site, access to which is now blocked. The automatons defending the place make it too dangerous to inquire further.","There are several bookshelves in the ruin, as well as a lorebook . A Skyshard can be found in the southwestern chamber, while Thzallek Eft occupies the south hall. Centipedes and spiders are found in numbers within. There is a dead Dunmer named Solvar in front of the ruin. If you head through the crevice north of his corpse, you'll find another skyshard, which is guarded by a sleeping bear. A chest can spawn just east of this skyshard.",,Dead Weight; Into the Outside; The Precursor,,Avanchnzel also appeared in Skyrim.
Broken Helm Hollow,Online:Broken Helm Hollow,Ebonheart Pact,The Rift,Cave,Delve,"a small cave in the southeastern Rift, east of Forelhost containing wildlife.",East of Forelhost,"Bandits from Broken Helm Hollow have long preyed on the road from Riften to Fort Virak in Morrowind. The Riften Guard clears the place out every few seasons, but the bandits always seem to return.",The troll Skullcrusher can be found in the southern chamber.,,A Diamond in the Root; The Wing of the Gryphon,,Broken Helm Hollow also appeared in Skyrim.
Faldar's Tooth,Online:Faldar's Tooth,Ebonheart Pact,The Rift,Ruin,Delve,"a ruined fort in the central Rift, east of Honrich Tower containing Darkling cultists.",East of Honrich Tower,"Sacked over a century ago by raiding Orcs from Yashnag's Kingdom, the fort known as Faldar's Tooth has been left to decay ever since by the Jarls of Riften, who have had no need, or no funds, to rebuild it.","A thieves trove can be found beneath a broken crate on the road leading towards the fort, at the round, U-shaped bend in the road. A functioning cooking fire can be found in the center of the exterior courtyard. There is a single piece of poultry that counts as stolen when you take it. It can be found in the southern tower in the courtyard. Some Speech Notes can be found on a table in front of the entrance to the delve's interior. These notes detail how the Darklings are building a shrine to Nocturnal within the ruins. A copy of the lore book, Song of the Askelde Men, can be found near a non-functioning cooking fire in the western portion of the first large chamber inside the delve. The delve's skyshard can be found in the western tunnels, just south of the entrance chamber. Israk Ice-Storm can be found in the chamber just west of the skyshard, trapped in a cell. Speaking with him starts the delve's related quest. The delve's boss, Rozelun, can be found in the southernmost chamber. The",,"Beneath the Surface; The Missing Prophecy; Returning Winter's Bite (does not require entering the delve itself, only the outer grounds); The Wing of the Gryphon",,Faldar's Tooth also appeared in Skyrim.
Fort Greenwall,Online:Fort Greenwall,Ebonheart Pact,The Rift,Fort,Delve,"a fort in the eastern Rift, north of Riften containing bandits.",North of Riften,"Fort Greenwall was built to guard the road between Riften and Windhelm, but it was sacked by the Akaviri army during the recent invasion, and has yet to be refurbished and regarrisoned by the Ebonheart Pact.",Uggurek the Vile can be found in the large chamber in the southern part of the fort.,,"Breaches of Frost and Fire; Drink, Drink, and Be Merry; Finding Winter's Hammer (does not require entering the delve, only the external grounds)",,Fort Greenwall also appeared in Skyrim.
Shroud Hearth Barrow,Online:Shroud Hearth Barrow,Ebonheart Pact,The Rift,,,,,,,,,,
Snapleg Cave,Online:Snapleg Cave,Ebonheart Pact,The Rift,Cave,Delve,"a cave in the northern Rift, far north-northeast of Nimalten containing bandits.",North-northeast of Nimalten,"The regulars at the Horker's Tusk in Ivarstead all agree that trouble has taken up residence in Snapleg Cave, but the nature of that trouble is a matter of dispute. Is it bandits? Smugglers? Hagravens? Cultists? The debate rages on.",,,Breaches of Frost and Fire,,Snapleg Cave also appeared in Skyrim.
Atanaz Ruins,Online:Atanaz Ruins,Ebonheart Pact,Shadowfen,Ruin,Delve,"Ancient Argonian ruins in eastern Shadowfen, east of Alten Corimont containing a tribe of ruthless Argonian warriors.",East of Alten Corimont,"Those who call the Argonians ""primitives"" would do well to consider the permanence and elegance of their stonework, built for eternity despite the relentless Black Marsh rot. The still-solid corridors of ancient Atanaz are an instructive example.","The tribe raids other villages, steals their valuables and kills the inhabitants. They also worship a wamasu, which resides deep within the ruins. A guide to caring for this wamasu can be found near the beast. An old Orc's journal can be found next to his corpse. The ruins are home to two species of unique plants with healing properties. A copy of the lore book Sithis can be found next to the delve's entrance. A herd of kagouti and plenty of giant wasps live on the hillside leading up towards the ruin.",,Give and Take in Shadowfen; Strength of the Father,,
Broken Tusk,Online:Broken Tusk,Ebonheart Pact,Shadowfen,Daedric Ruin,Delve,"a Daedric ruin in eastern Shadowfen, north-northeast of the Forsaken Hamlet, containing Daedra.",North-northeast of the Forsaken Hamlet,"None know today what lost cult of Daedra worshipers built the original shrine in these caverns, nor what they called it. But the lair the Argonians call Broken Tusk exudes an almost palpable sense of the evil that's been done there over the ages.","The shrine contains a number of dead Molag Bal Cultists, who were summoning Daedra to control and release upon the world in the name of Molag Bal, but were quickly overwhelmed. A dying priest of Arkay and a cursed urn can be found deep within the shrine. A book of rituals can be found in the hallway leading to Naeraizozan's chamber. A chest can be found in this hallway as well. Another chest can be found in the northwest corner of Naeraizozan's room. Four banners depicting the emblem of Sheogorath can be found in the hallway beyond the entrance, and a single banner depicting Hircine can be found in the first large chamber. A copy of Ruminations on the Elder Scrolls can be found south from the ruins, across the river. A Thieves Trove is hiding on the other side of the river, beneath a fern just up the slope towards Camp Merciful Reduction. Two crocodiles, a giant wasp and a guar loiter just outside the entrance to the ruins. Rats and Spiders are found in numbers within.",,Dim and Distant Pasts; Will of the Broken,,"Broken Tusk Ritual Notes, located at a camp north of Bogmother, will mark Broken Tusk's location on your map if you haven't discovered it already."
Chid-Moska Ruins,Online:Chid-Moska Ruins,Ebonheart Pact,Shadowfen,Ruin,Delve,"ancient Argonian ruins in southwestern Shadowfen, west of Murkwater containing Blackguards.",West of Murkwater,"Argonian scholars are uncertain whether the Chid-Moska xanmeer should be considered part of the larger Xal Ithix complex, or if it is a separate site built by an even more ancient tribe of Lizard-Folk.",thumb|right|Interior,,Catch the Lightning; Ruthless Competition; A Friend In Need,,"The delve was inhabited by Outlaws (Outlaw Berserker; Outlaw Bruiser; Outlaw Recruit; Outlaw Sharpshooter) prior to Update 19, having been replaced by Blackguards."
Gandranen Ruins,Online:Gandranen Ruins,Ebonheart Pact,Shadowfen,Elven Ruin,Delve,"an Ayleid ruin in central Shadowfen, southwest of the Hatching Pools containing Ayleid mummies.",Southwest of the Hatching Pools,"Tales say that Gandranen was built by an Ayleid sorcerer, a worshiper of Hermaeus Mora who so loved books that she created a series of magical halls that would attract books from across Tamriel, no matter where—or when—they were published.","The Ayleid Fenlords, practitioners of necromancy, made the halls the place where they would go on to live in undeath. The bodies of some Blackguards can also be found here, along with their map piece. The exterior of the delve is surrounded by wasps and swarming wasps. Inside the delve you will meet Zahra, a Khajiit treasure hunter, who needs your help retrieving an Ayleid artifact. A fragment of a note can be found west from the delve's entrance. Parts of an Argonian journal can be found in the northern part of the last room. There is a skyshard located rather close to the entrance, just outside the one-way exit from the delve's last room.",,Riches Beyond Measure; The Cursed Skull,,
Onkobra Kwama Mine,Online:Onkobra Kwama Mine,Ebonheart Pact,Shadowfen,Mine,Delve,"a kwama mine in southeastern Shadowfen, south of Alten Corimont.",South of Alten Corimont,"When the Dark Elves freed their Argonian slaves, some of the Lizard-Folk assumed control of the Dunmeri ventures where they had been laboring in bondage. Not all these ventures have been successful.",,,,,
Shrine of the Black Maw,Online:Shrine of the Black Maw,Ebonheart Pact,Shadowfen,Elven Ruin,Delve,"an Ayleid ruin in northwestern Shadowfen, west-northwest of Stormhold containing vampires.",West-northwest of Stormhold,"Since the inking of the Ebonheart Pact, the trade in enslaved Argonians has been outlawed … but it has not been eradicated. The slavers have merely gone underground—literally, in the case of those using the Ayleid halls of Varakun as their lair.","The ruin was once known as Varakun, and was a base for illegal slavers. Recently, however, a group of vampires led by a former slave named Peers-Through-Glass have entered the ruin, killing all the slavers. A Free Argonian's Manifesto can be found near here. Other notable items here include a Skyshard and an Ayleid Well. Rats and spiders are found in numbers within.",,"Cold Blood, Old Pain",,
Emberflint Mine,Online:Emberflint Mine,Ebonheart Pact,Stonefalls,Mine,Delve,"a mine in central Stonefalls, southeast of Ebonheart containing Stonefire Cultists.",Southeast of Ebonheart,"All the indicators point to this place being an active flint mine, except one thing: where are all the miners?",The miners' souls have recently been trapped in small stones. You must free them during the related questthumb|right|Interior,,Desperate Souls,,"The actual mine entrance can be difficult to find, as it is underground. You can easily get the map marker without seeing the entrance at all. Go north from where the marker appears and into an open-air mine, then turn around to find the entrance to the underground tunnel that leads to the actual mine. The Emberflint mine entrance will be a wooden door in the same underground area where you find the soul crystals that the miners are trapped in."
Hightide Hollow,Online:Hightide Hollow,Ebonheart Pact,Stonefalls,Cave,Delve,"an abandoned mine in central Stonefalls, west of Ebonheart containing spiders.",West of Ebonheart,The abandoned mine on the coast at Hightide Hollow has been used on and off for centuries as a smugglers' den. Now someone seems to have chased the smugglers out. Who are the new residents?,"thumb|right|Interior It has become infested by spiders, which drove out the goblins living in the cave. They are being controlled by an Orc mage named Oodegu. Hazards include: Lava Pools",,The Truth about Spiders,,
